title,field,removed_value,reason
Prapancha Vismayangalileku Georginte Rahasyathakkol & Mahaprapancham,P212 ISBN-13,978812640961,malformed
Malabar Kalaapam ( Madhavannnayar K ),P212 ISBN-13,9788182663034,bad-checksum
Malabar Kalapam,P212 ISBN-13,9788126408731,bad-checksum
Malayala Nataka Sahithya Charithram,P212 ISBN-13,9788180000000,bad-checksum
Malayala Novel Sahithya Mala (3 Volumes) - Print on Demand,P212 ISBN-13,9788130000000,bad-checksum
Malayala Padavali Class - 2,P957 ISBN-10,9788122340,bad-checksum
Malayalam Malayalam Nikhandu,P212 ISBN-13,9788130000000,bad-checksum
Malayalathinte Suvarnakathakal- Padmarajan,P212 ISBN-13,9788184230092,bad-checksum
Malayali Balyathinte Manamniracha Kathakal - 5 Volumes,P212 ISBN-13,9780090000000,bad-checksum
Malayappulayanum Ee Yem Essum,P212 ISBN-13,9788190000000,placeholder
Manassu Oru Kadamkatha,P957 ISBN-10,8124818103,bad-checksum
Manichithra Thazhu,P212 ISBN-13,9788130000000,bad-checksum
Manikkanum Mattu Pradhana Kadhakalum,P957 ISBN-10,8126405633,bad-checksum
Manthrapythrukam,P212 ISBN-13,9788130000000,bad-checksum
Marangal,P212 ISBN-13,9788130000000,bad-checksum
Masakopanishthum Mattu Pathu Ekangangalum,P212 ISBN-13,9788120000000,bad-checksum
Mayurasandesam,P212 ISBN-13,9788170000000,bad-checksum
Mayyazhippuzhayude Theerangalil,P212 ISBN-13,9788171302319,bad-checksum
Mehendi Designs,P212 ISBN-13,97888126449071,malformed
Mittayipothi,P212 ISBN-13,81713042881,malformed
Mittayitheruvu,P212 ISBN-13,978935396511,malformed
Nabiyude Nattil,P957 ISBN-10,8126418589,bad-checksum
Namboori Phalithangal,P212 ISBN-13,9788120000000,bad-checksum
Neermathalam Pootha Kalam,P212 ISBN-13,9788171302440,bad-checksum
Ningalude Ishtam Pole,P212 ISBN-13,9788130000000,bad-checksum
Ningalude Laingiga Jeevitham,P212 ISBN-13,9788190000000,placeholder
Njan Akunnu Vathil,P212 ISBN-13,9190030000000,bad-checksum
Njan Ennum Hindusthani M.f Hussain,P212 ISBN-13,9788130000000,bad-checksum
Order Order Order,P212 ISBN-13,9788130000000,bad-checksum
Oru Janmam,P212 ISBN-13,9788126425946,bad-checksum
Othello,P212 ISBN-13,9788130000000,bad-checksum
Ottayan,P212 ISBN-13,978812649101,malformed
Paalaazhimathanam,P212 ISBN-13,9788170000000,bad-checksum
Paattabaakky,P212 ISBN-13,9788120000000,bad-checksum
Pachakam,P212 ISBN-13,9788120000000,bad-checksum
Padanamikavinu Oru Vazhikaatti,P212 ISBN-13,9788130000000,bad-checksum
Padheyam,P212 ISBN-13,9788126405783,bad-checksum
Padmarajante Thirakkathakal,P212 ISBN-13,9788170000000,bad-checksum
Padunna Mounam,P212 ISBN-13,9190030000000,bad-checksum
Palunku - Print on Demand,P212 ISBN-13,9788130000000,bad-checksum
Panchavankadu,P212 ISBN-13,978812642201,malformed
Panthrandam Ravu,P212 ISBN-13,9788130000000,bad-checksum
Paradeshi,P212 ISBN-13,9788130000000,bad-checksum
Pathinayiram Pazhamchollukal,P957 ISBN-10,8124008669,bad-checksum
Poshakaharam,P212 ISBN-13,9788130000000,bad-checksum
Prapancham,P212 ISBN-13,9788120000000,bad-checksum
Prapanchathinte Bhaavi,P212 ISBN-13,9788130000000,bad-checksum
Prathishedikkunna Athmavukal,P212 ISBN-13,9788130000000,bad-checksum
Prisoner 5990 R Balakrishna Pillaiyude Athmakatha,P212 ISBN-13,9788130000001,bad-checksum
Pulijanmam (nadakam),P212 ISBN-13,9788130000000,bad-checksum
Rajatharangini (hard Cover),P212 ISBN-13,2991220,malformed
Rasamulla Rasathantram,P212 ISBN-13,9788130000000,bad-checksum
Rathi Vijnanakosam,P212 ISBN-13,9788120000000,bad-checksum
Reiki Mukthiyilekku Oru Patha,P212 ISBN-13,9788130000000,bad-checksum
Roopakadarsanam,P212 ISBN-13,9788180000000,bad-checksum
Sailikal Kuttikalkku,P212 ISBN-13,9788130000000,bad-checksum
Saketham,P212 ISBN-13,9788126414332,bad-checksum
Samagra Yoga,P212 ISBN-13,9788126409290,bad-checksum
Samathvavadi,P212 ISBN-13,9788130000000,bad-checksum
Samudra Vijnanam,P212 ISBN-13,9788130000000,bad-checksum
Sankhyakalude Pusthakam,P212 ISBN-13,9788130000000,bad-checksum
Santhaalahera,P212 ISBN-13,9788126420871,bad-checksum
Sarasvati - Nadhi Ozhukum Vazhi ( the Lost River ),P212 ISBN-13,9788130000000,bad-checksum
Sarva Manushyarudeyum Rakshakku Vendiyulla Kripa *,P212 ISBN-13,978935396238,malformed
Savithriyute Aranhanam,P212 ISBN-13,9788120000000,bad-checksum
Seethayum Pardayum Seershakamillatha Kavithakalum,P212 ISBN-13,89789352822690,malformed
Sex Oru Padhanam,P212 ISBN-13,9788190000000,placeholder
Shunyathayude Pusthakam,P212 ISBN-13,9190030000000,bad-checksum
Sita Muthal Satyavathy Vare (print on Demand),P212 ISBN-13,9788120000000,bad-checksum
Smrithirekhakal,P212 ISBN-13,978813000000,malformed
Sreerama Sahasranamam,P212 ISBN-13,9788126442438,bad-checksum
Sreeramageetha : Vedandaprakashika Vyakhyanam,P212 ISBN-13,97881326440290,malformed
Sreesathyasaibaba,P212 ISBN-13,9788130000000,bad-checksum
Sri Sathyasai Baba Jeevithakatha,P212 ISBN-13,9788130000000,bad-checksum
Sukrutham,P212 ISBN-13,9788130000000,bad-checksum
Sulthaante Buttons,P212 ISBN-13,9788126435615,bad-checksum
Suriyani Ruchikal,P212 ISBN-13,9788130000000,bad-checksum
Swami Rama - Jeevcharithram,P212 ISBN-13,9788130000000,bad-checksum
Swayamvaram,P212 ISBN-13,9788130000000,bad-checksum
Sweeyajnanam(on Self Knowledge),P212 ISBN-13,9788130000000,bad-checksum
Tagore Krithikal (print on Demand),P212 ISBN-13,978812642387,malformed
Tanthra Nighandu,P212 ISBN-13,81240171105,malformed
Thanthrakkari - M T,P212 ISBN-13,9788171309011,bad-checksum
Tharayude Padham - Limited Edition,P212 ISBN-13,978935390683,malformed
Thariyanachan Ormakaliloode,P212 ISBN-13,9788254111111,bad-checksum
The Merchant of Venice,P212 ISBN-13,9788130000000,bad-checksum
Theerthaadanam,P212 ISBN-13,9788130000000,bad-checksum
Thettum Sariyum,P212 ISBN-13,9788120000000,bad-checksum
Theyyathile Jathivazakkam,P212 ISBN-13,9788120000000,bad-checksum
Thirukkural,P212 ISBN-13,9788130000000,bad-checksum
Thurumbu,P212 ISBN-13,9788130000000,bad-checksum
Totto Chan,P212 ISBN-13,9788120000000,bad-checksum
Uae Lebanon Turkey Yaathra,P212 ISBN-13,9788120000000,bad-checksum
Udayanaanu Thaaram - Print on Demand,P212 ISBN-13,9788130000000,bad-checksum
Udharanikal Manosukathine,P212 ISBN-13,812260670,malformed
Valaru Ningalkkapuram,P212 ISBN-13,978123456789,malformed
Valmeeki Ramayanam,P212 ISBN-13,9788130000000,bad-checksum
Vasthu Oru Kaippusthakam,P212 ISBN-13,9788126410523,bad-checksum
Venattu Yakshikal,P212 ISBN-13,9788120000000,bad-checksum
Videsath Uparipatanam,P212 ISBN-13,9788120000000,bad-checksum
Vidyabhyasathil Viplavam (osho),P212 ISBN-13,9190030000000,bad-checksum
Vietnam Arinjathum Anubhavichathum,P212 ISBN-13,9788130000000,bad-checksum
Visishta Pachakam,P212 ISBN-13,9788126408111,bad-checksum
"Viswamahagrandhangal( 1,2,3&4)",P212 ISBN-13,9788180000000,bad-checksum
Viswasahithyatharavali (12 Volumes) [print on Demand],P1104 pages,12000,out-of-range
Vyaasan Paranja Kathakal (print on Demand),P212 ISBN-13,9788130000000,bad-checksum
Yathra (screenplay),P212 ISBN-13,9788130000000,bad-checksum
Yogapadavali,P212 ISBN-13,81713045656,malformed
Yoga Sampoorna Arogyathinu,P212 ISBN-13,9788126435344,bad-checksum
Yukthichinta,P212 ISBN-13,9788120000000,bad-checksum
Zachariayude Yesu,P212 ISBN-13,97880126412747,malformed
